timestamp,x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,0,1
0.02,0,0,0,0,0,0,1
0.3533334,0,0,0,0,0,0,1
0.3621604,0,0,0,0,0,0,1
0.3660178,0,0,0,0,0,0,1
0.369437,0,0,0,0,0,0,1
0.3729154,0,0,0,0,0,0,1
0.3922114,0,0,0,0,0,0,1
0.4188205,0,0,0,0,0,0,1
0.4494737,0,0,0,0,0,0,1
0.4792915,0,0,0,0,0,0,1
0.5074396,0,0,0,0,0,0,1
0.5354124,0,0,0,0,0,0,1
0.5594023,0,0,0,0,0,0,1
0.5839561,0,0,0,0,0,0,1
0.6077284,0,0,0,0,0,0,1
0.63296,0,0,0,0,0,0,1
0.6603885,0,0,0,0,0,0,1
0.689616,0,0,0,0,0,0,1
0.7135713,0,0,0,0,0,0,1
0.7388151,0,0,0,0,0,0,1
0.7817006,0,0,0,0,0,0,1
0.7895215,0,0,0,0,0,0,1
0.8143017,0,0,0,0,0,0,1
0.8403659,0,0,0,0,0,0,1
0.8661343,0,0,0,0,0,0,1
0.8926532,0,0,0,0,0,0,1
0.9196143,0,0,0,0,0,0,1
0.9461454,0,0,0,0,0,0,1
0.9713914,0,0,0,0,0,0,1
0.9953042,0,0,0,0,0,0,1
1.020941,0,0,0,0,0,0,1
1.045447,0,0,0,0,0,0,1
1.069799,0,0,0,0,0,0,1
1.09256,0,0,0,0,0,0,1
1.116354,0,0,0,0,0,0,1
1.141469,0,0,0,0,0,0,1
1.164941,0,0,0,0,0,0,1
1.191432,0,0,0,0,0,0,1
1.21777,0,0,0,0,0,0,1
1.242564,0,0,0,0,0,0,1
1.266086,0,0,0,0,0,0,1
1.290064,0,0,0,0,0,0,1
1.314235,0,0,0,0,0,0,1
1.337735,0,0,0,0,0,0,1
1.36214,0,0,0,0,0,0,1
1.387606,0,0,0,0,0,0,1
1.412247,0,0,0,0,0,0,1
1.438894,0,0,0,0,0,0,1
1.464672,0,0,0,0,0,0,1
1.49082,0,0,0,0,0,0,1
1.518241,0,0,0,0,0,0,1
1.540741,0,0,0,0,0,0,1
1.567195,0,0,0,0,0,0,1
1.592167,0,0,0,0,0,0,1
1.619794,0,0,0,0,0,0,1
1.64482,0,0,0,0,0,0,1
1.672435,0,0,0,0,0,0,1
1.699709,0,0,0,0,0,0,1
1.723328,0,0,0,0,0,0,1
1.74658,0,0,0,0,0,0,1
1.770714,0,0,0,0,0,0,1
1.794165,0,0,0,0,0,0,1
1.819257,0,0,0,0,0,0,1
1.845443,0,0,0,0,0,0,1
1.87022,0,0,0,0,0,0,1
1.897509,0,0,0,0,0,0,1
1.924701,0,0,0,0,0,0,1
1.949838,0,0,0,0,0,0,1
1.974046,0,0,0,0,0,0,1
1.99657,0,0,0,0,0,0,1
2.020961,0,0,0,0,0,0,1
2.044084,0,0,0,0,0,0,1
2.071199,0,0,0,0,0,0,1
2.094079,0,0,0,0,0,0,1
2.118061,0,0,0,0,0,0,1
2.141281,0,0,0,0,0,0,1
2.166668,0,0,0,0,0,0,1
2.18981,0,0,0,0,0,0,1
2.215685,0,0,0,0,0,0,1
2.240678,0,0,0,0,0,0,1
2.267857,0,0,0,0,0,0,1
2.291974,0,0,0,0,0,0,1
2.31585,0,0,0,0,0,0,1
2.341661,0,0,0,0,0,0,1
2.366317,0,0,0,0,0,0,1
2.390824,0,0,0,0,0,0,1
2.417173,0,0,0,0,0,0,1
2.446335,0,0,0,0,0,0,1
2.472847,0,0,0,0,0,0,1
2.500989,0,0,0,0,0,0,1
2.528633,0,0,0,0,0,0,1
2.554879,0,0,0,0,0,0,1
2.580028,0,0,0,0,0,0,1
2.60639,0,0,0,0,0,0,1
2.626805,0,0,0,0,0,0,1
2.650729,0,0,0,0,0,0,1
2.674764,0,0,0,0,0,0,1
2.698769,0,0,0,0,0,0,1
2.722903,0,0,0,0,0,0,1
2.746853,0,0,0,0,0,0,1
2.771631,0,0,0,0,0,0,1
2.796698,0,0,0,0,0,0,1
2.823145,0,0,0,0,0,0,1
2.846736,0,0,0,0,0,0,1
2.872649,0,0,0,0,0,0,1
2.896434,0,0,0,0,0,0,1
2.922471,0,0,0,0,0,0,1
2.946326,0,0,0,0,0,0,1
2.972477,0,0,0,0,0,0,1
2.996674,0,0,0,0,0,0,1
3.021374,0,0,0,0,0,0,1
3.046699,0,0,0,0,0,0,1
3.071341,0,0,0,0,0,0,1
3.09692,0,0,0,0,0,0,1
3.123118,0,0,0,0,0,0,1
3.14724,0,0,0,0,0,0,1
3.173655,0,0,0,0,0,0,1
3.198562,0,0,0,0,0,0,1
3.223825,0,0,0,0,0,0,1
3.24884,0,0,0,0,0,0,1
3.273406,0,0,0,0,0,0,1
3.299077,0,0,0,0,0,0,1
3.32463,0,0,0,0,0,0,1
3.349019,0,0,0,0,0,0,1
3.374723,0,0,0,0,0,0,1
3.399978,0,0,0,0,0,0,1
3.426107,0,0,0,0,0,0,1
3.451041,0,0,0,0,0,0,1
3.476157,0,0,0,0,0,0,1
3.500213,0,0,0,0,0,0,1
3.527053,0,0,0,0,0,0,1
3.551649,0,0,0,0,0,0,1
3.575897,0,0,0,0,0,0,1
3.601775,0,0,0,0,0,0,1
3.626178,0,0,0,0,0,0,1
3.652208,0,0,0,0,0,0,1
3.67736,0,0,0,0,0,0,1
3.702956,0,0,0,0,0,0,1
3.72912,0,0,0,0,0,0,1
3.753666,0,0,0,0,0,0,1
3.778424,0,0,0,0,0,0,1
3.803546,0,0,0,0,0,0,1
3.828176,0,0,0,0,0,0,1
3.854658,0,0,0,0,0,0,1
3.878294,0,0,0,0,0,0,1
3.904547,0,0,0,0,0,0,1
3.928806,0,0,0,0,0,0,1
3.955695,0,0,0,0,0,0,1
3.980405,0,0,0,0,0,0,1
4.006632,0,0,0,0,0,0,1
4.03171,0,0,0,0,0,0,1
4.056347,0,0,0,0,0,0,1
4.082034,0,0,0,0,0,0,1
4.108244,0,0,0,0,0,0,1
4.134817,0,0,0,0,0,0,1
4.159527,0,0,0,0,0,0,1
4.186049,0,0,0,0,0,0,1
4.210346,0,0,0,0,0,0,1
4.236871,0,0,0,0,0,0,1
4.262402,0,0,0,0,0,0,1
4.289099,0,0,0,0,0,0,1
4.313324,0,0,0,0,0,0,1
4.337813,0,0,0,0,0,0,1
4.361927,0,0,0,0,0,0,1
4.386812,0,0,0,0,0,0,1
4.411102,0,0,0,0,0,0,1
4.435362,0,0,0,0,0,0,1
4.459941,0,0,0,0,0,0,1
4.488322,0,0,0,0,0,0,1
4.512527,0,0,0,0,0,0,1
4.538938,0,0,0,0,0,0,1
4.563144,0,0,0,0,0,0,1
4.589002,0,0,0,0,0,0,1
4.613979,0,0,0,0,0,0,1
4.640274,0,0,0,0,0,0,1
4.665933,0,0,0,0,0,0,1
4.690117,0,0,0,0,0,0,1
4.716423,0,0,0,0,0,0,1
4.741416,0,0,0,0,0,0,1
4.765357,0,0,0,0,0,0,1
4.790826,0,0,0,0,0,0,1
4.81466,0,0,0,0,0,0,1
4.840282,0,0,0,0,0,0,1
4.864267,0,0,0,0,0,0,1
4.889032,0,0,0,0,0,0,1
4.914865,0,0,0,0,0,0,1
4.940324,0,0,0,0,0,0,1
4.965542,0,0,0,0,0,0,1
4.991511,0,0,0,0,0,0,1
5.016,0,0,0,0,0,0,1
5.041368,0,0,0,0,0,0,1
5.065572,0,0,0,0,0,0,1
5.091038,0,0,0,0,0,0,1
5.117424,0,0,0,0,0,0,1
5.140892,0,0,0,0,0,0,1
5.166223,0,0,0,0,0,0,1
5.19297,0,0,0,0,0,0,1
5.217858,0,0,0,0,0,0,1
5.241824,0,0,0,0,0,0,1
5.268895,0,0,0,0,0,0,1
5.292227,0,0,0,0,0,0,1
5.317398,0,0,0,0,0,0,1
5.342772,0,0,0,0,0,0,1
5.368244,0,0,0,0,0,0,1
5.393165,0,0,0,0,0,0,1
5.417562,0,0,0,0,0,0,1
5.446204,0,0,0,0,0,0,1
5.471443,0,0,0,0,0,0,1
5.495348,0,0,0,0,0,0,1
5.520814,0,0,0,0,0,0,1
5.544454,0,0,0,0,0,0,1
5.56965,0,0,0,0,0,0,1
5.595508,0,0,0,0,0,0,1
5.621332,0,0,0,0,0,0,1
5.644762,0,0,0,0,0,0,1
5.670034,0,0,0,0,0,0,1
5.695419,0,0,0,0,0,0,1
5.720607,0,0,0,0,0,0,1
5.745924,0,0,0,0,0,0,1
5.770285,0,0,0,0,0,0,1
5.79543,0,0,0,0,0,0,1
5.82008,0,0,0,0,0,0,1
5.845033,0,0,0,0,0,0,1
5.870806,0,0,0,0,0,0,1
5.895419,0,0,0,0,0,0,1
5.920834,0,0,0,0,0,0,1
5.944892,0,0,0,0,0,0,1
5.971538,0,0,0,0,0,0,1
5.995481,0,0,0,0,0,0,1
6.020866,0,0,0,0,0,0,1
6.046001,0,0,0,0,0,0,1
6.071006,0,0,0,0,0,0,1
6.096098,0,0,0,0,0,0,1
