timestamp,x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,0,1
0.02,0,0,0,0,0,0,1
0.3533334,0,0,0,0,0,0,1
0.3833371,0,0,0,0,0,0,1
0.4224092,0,0,0,0,0,0,1
0.4284337,0,0,0,0,0,0,1
0.4425722,0,0,0,0,0,0,1
0.4474501,0,0,0,0,0,0,1
0.4509333,0,0,0,0,0,0,1
0.4789523,0,0,0,0,0,0,1
0.5138974,0,0,0,0,0,0,1
0.5487753,0,0,0,0,0,0,1
0.5822058,0,0,0,0,0,0,1
0.613533,0,0,0,0,0,0,1
0.6453791,0,0,0,0,0,0,1
0.6749293,0,0,0,0,0,0,1
0.7023039,0,0,0,0,0,0,1
0.7287583,0,0,0,0,0,0,1
0.7550129,0,0,0,0,0,0,1
0.7826977,0,0,0,0,0,0,1
0.8074048,0,0,0,0,0,0,1
0.8347679,0,0,0,0,0,0,1
0.8593736,0,0,0,0,0,0,1
0.8853766,0,0,0,0,0,0,1
0.9102409,0,0,0,0,0,0,1
0.9363487,0,0,0,0,0,0,1
0.9615296,0,0,0,0,0,0,1
0.9877645,0,0,0,0,0,0,1
1.012775,0,0,0,0,0,0,1
1.038119,0,0,0,0,0,0,1
1.063172,0,0,0,0,0,0,1
1.089938,0,0,0,0,0,0,1
1.11713,0,0,0,0,0,0,1
1.143082,0,0,0,0,0,0,1
1.169813,0,0,0,0,0,0,1
1.194387,0,0,0,0,0,0,1
1.220149,0,0,0,0,0,0,1
1.245514,0,0,0,0,0,0,1
1.270102,0,0,0,0,0,0,1
1.29545,0,0,0,0,0,0,1
1.321296,0,0,0,0,0,0,1
1.346209,0,0,0,0,0,0,1
1.372406,0,0,0,0,0,0,1
1.39813,0,0,0,0,0,0,1
1.424034,0,0,0,0,0,0,1
1.449655,0,0,0,0,0,0,1
1.473878,0,0,0,0,0,0,1
1.500006,0,0,0,0,0,0,1
1.524088,0,0,0,0,0,0,1
1.54873,0,0,0,0,0,0,1
1.573378,0,0,0,0,0,0,1
1.598664,0,0,0,0,0,0,1
1.625019,0,0,0,0,0,0,1
1.649286,0,0,0,0,0,0,1
1.674255,0,0,0,0,0,0,1
1.699875,0,0,0,0,0,0,1
1.724944,0,0,0,0,0,0,1
1.751715,0,0,0,0,0,0,1
1.778129,0,0,0,0,0,0,1
1.80457,0,0,0,0,0,0,1
1.830032,0,0,0,0,0,0,1
1.855473,0,0,0,0,0,0,1
1.879968,0,0,0,0,0,0,1
1.904678,0,0,0,0,0,0,1
1.931577,0,0,0,0,0,0,1
1.95677,0,0,0,0,0,0,1
1.982243,0,0,0,0,0,0,1
2.007405,0,0,0,0,0,0,1
2.032775,0,0,0,0,0,0,1
2.057917,0,0,0,0,0,0,1
2.084103,0,0,0,0,0,0,1
2.107827,0,0,0,0,0,0,1
2.133212,0,0,0,0,0,0,1
2.157411,0,0,0,0,0,0,1
2.18503,0,0,0,0,0,0,1
2.209404,0,0,0,0,0,0,1
2.23589,0,0,0,0,0,0,1
2.261937,0,0,0,0,0,0,1
2.286272,0,0,0,0,0,0,1
2.311222,0,0,0,0,0,0,1
2.340091,0,0,0,0,0,0,1
2.362316,0,0,0,0,0,0,1
2.38772,0,0,0,0,0,0,1
2.413247,0,0,0,0,0,0,1
2.439059,0,0,0,0,0,0,1
2.465438,0,0,0,0,0,0,1
2.489719,0,0,0,0,0,0,1
2.516174,0,0,0,0,0,0,1
2.542098,0,0,0,0,0,0,1
2.568006,0,0,0,0,0,0,1
2.592505,0,0,0,0,0,0,1
2.61806,0,0,0,0,0,0,1
2.642356,0,0,0,0,0,0,1
2.669381,0,0,0,0,0,0,1
2.693154,0,0,0,0,0,0,1
2.72074,0,0,0,0,0,0,1
2.744723,0,0,0,0,0,0,1
2.770663,0,0,0,0,0,0,1
2.795995,0,0,0,0,0,0,1
2.820392,0,0,0,0,0,0,1
2.848174,0,0,0,0,0,0,1
2.871873,0,0,0,0,0,0,1
2.897332,0,0,0,0,0,0,1
2.922691,0,0,0,0,0,0,1
2.948225,0,0,0,0,0,0,1
2.974537,0,0,0,0,0,0,1
3.000345,0,0,0,0,0,0,1
3.024211,0,0,0,0,0,0,1
3.049797,0,0,0,0,0,0,1
3.075175,0,0,0,0,0,0,1
3.102136,0,0,0,0,0,0,1
3.127116,0,0,0,0,0,0,1
3.152706,0,0,0,0,0,0,1
3.17739,0,0,0,0,0,0,1
3.203151,0,0,0,0,0,0,1
3.227952,0,0,0,0,0,0,1
3.254022,0,0,0,0,0,0,1
3.2789,0,0,0,0,0,0,1
3.306237,0,0,0,0,0,0,1
3.330876,0,0,0,0,0,0,1
3.355504,0,0,0,0,0,0,1
3.382269,0,0,0,0,0,0,1
3.40612,0,0,0,0,0,0,1
3.432612,0,0,0,0,0,0,1
3.458042,0,0,0,0,0,0,1
3.484212,0,0,0,0,0,0,1
3.510551,0,0,0,0,0,0,1
3.5372,0,0,0,0,0,0,1
3.562424,0,0,0,0,0,0,1
3.589609,0,0,0,0,0,0,1
3.614878,0,0,0,0,0,0,1
3.640542,0,0,0,0,0,0,1
3.665649,0,0,0,0,0,0,1
3.689208,0,0,0,0,0,0,1
3.713289,0,0,0,0,0,0,1
3.737013,0,0,0,0,0,0,1
3.760678,0,0,0,0,0,0,1
3.786806,0,0,0,0,0,0,1
3.810972,0,0,0,0,0,0,1
3.836226,0,0,0,0,0,0,1
3.860641,0,0,0,0,0,0,1
3.887034,0,0,0,0,0,0,1
3.911876,0,0,0,0,0,0,1
3.937207,0,0,0,0,0,0,1
3.961588,0,0,0,0,0,0,1
3.986681,0,0,0,0,0,0,1
4.012134,0,0,0,0,0,0,1
4.036821,0,0,0,0,0,0,1
4.062378,0,0,0,0,0,0,1
4.087877,0,0,0,0,0,0,1
4.113351,0,0,0,0,0,0,1
4.138381,0,0,0,0,0,0,1
4.16309,0,0,0,0,0,0,1
4.188183,0,0,0,0,0,0,1
4.213139,0,0,0,0,0,0,1
4.238463,0,0,0,0,0,0,1
4.263253,0,0,0,0,0,0,1
4.287981,0,0,0,0,0,0,1
4.312613,0,0,0,0,0,0,1
4.338348,0,0,0,0,0,0,1
4.361703,0,0,0,0,0,0,1
4.387505,0,0,0,0,0,0,1
4.413931,0,0,0,0,0,0,1
4.438171,0,0,0,0,0,0,1
4.464392,0,0,0,0,0,0,1
4.491503,0,0,0,0,0,0,1
4.516957,0,0,0,0,0,0,1
4.542491,0,0,0,0,0,0,1
4.57009,0,0,0,0,0,0,1
4.593354,0,0,0,0,0,0,1
4.619818,0,0,0,0,0,0,1
4.645048,0,0,0,0,0,0,1
4.671026,0,0,0,0,0,0,1
4.696305,0,0,0,0,0,0,1
4.722885,0,0,0,0,0,0,1
4.747467,0,0,0,0,0,0,1
4.774395,0,0,0,0,0,0,1
4.800498,0,0,0,0,0,0,1
4.825526,0,0,0,0,0,0,1
4.853318,0,0,0,0,0,0,1
4.878175,0,0,0,0,0,0,1
4.902828,0,0,0,0,0,0,1
4.927279,0,0,0,0,0,0,1
4.954352,0,0,0,0,0,0,1
4.979922,0,0,0,0,0,0,1
5.005577,0,0,0,0,0,0,1
5.033504,0,0,0,0,0,0,1
5.058643,0,0,0,0,0,0,1
5.085002,0,0,0,0,0,0,1
5.110811,0,0,0,0,0,0,1
5.136769,0,0,0,0,0,0,1
5.161273,0,0,0,0,0,0,1
5.187974,0,0,0,0,0,0,1
5.212935,0,0,0,0,0,0,1
5.240224,0,0,0,0,0,0,1
5.265701,0,0,0,0,0,0,1
5.290148,0,0,0,0,0,0,1
5.317046,0,0,0,0,0,0,1
5.342923,0,0,0,0,0,0,1
5.369269,0,0,0,0,0,0,1
5.394567,0,0,0,0,0,0,1
5.421706,0,0,0,0,0,0,1
5.446392,0,0,0,0,0,0,1
5.472317,0,0,0,0,0,0,1
5.496992,0,0,0,0,0,0,1
5.52293,0,0,0,0,0,0,1
5.548852,0,0,0,0,0,0,1
5.573687,0,0,0,0,0,0,1
5.598876,0,0,0,0,0,0,1
5.623634,0,0,0,0,0,0,1
5.65272,0,0,0,0,0,0,1
5.676909,0,0,0,0,0,0,1
5.703365,0,0,0,0,0,0,1
5.730042,0,0,0,0,0,0,1
5.755572,0,0,0,0,0,0,1
5.782234,0,0,0,0,0,0,1
5.807073,0,0,0,0,0,0,1
5.832097,0,0,0,0,0,0,1
5.855932,0,0,0,0,0,0,1
5.884154,0,0,0,0,0,0,1
5.908673,0,0,0,0,0,0,1
5.934898,0,0,0,0,0,0,1
5.960052,0,0,0,0,0,0,1
5.986646,0,0,0,0,0,0,1
6.010579,0,0,0,0,0,0,1
6.036091,0,0,0,0,0,0,1
6.061988,0,0,0,0,0,0,1
6.087473,0,0,0,0,0,0,1
6.112368,0,0,0,0,0,0,1
6.137242,0,0,0,0,0,0,1
6.162273,0,0,0,0,0,0,1
6.18803,0,0,0,0,0,0,1
6.215026,0,0,0,0,0,0,1
6.23876,0,0,0,0,0,0,1
